file,category,token,line_no,section,context_snippet,auto_suggestion,status
ch6-aggregate-demand-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
ch7-monetary-dynamics-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **Monetary Dynamics and Aggregate Analysis**
2. **Economic Productivity and Demand for Money**
3. **Increase Portfolio Demand and Endogenous Money**
4. **Long-run Aggregate Demand and the Money Market**
5. **Evidence from the Gold Standard**
6. **Conclusion**
7. **Review**",auto_filled
ch7-monetary-dynamics-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Chapter 7 - Monetary Dynamics and Aggregate Analysis.ipynb,auto_filled
ch7-monetary-dynamics-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
ch7-monetary-dynamics-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
ch8-money-credit-loanable-funds-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **Money and Credit**
2. **The Evolution of Credit**
3. **Intermediation and the Costs of Holding Money**
4. **Lending in an Economy Without Money**
5. **Lending Market**
6. **Loanable Funds**
7. **In all loanable funds figures, I will presume that investment is offset by liquid claims at some constant rate, $\gamma$ so that $LF_i = \gamma M_{c_i}$.**
8. **Present Value Equation**
9. **Interest Rates and Inflation**
10. **Monetary Aggregates and Credit Money**",auto_filled
ch8-money-credit-loanable-funds-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Chapter 8 - Money and Credit - The Loanable Funds Market.ipynb,auto_filled
ch8-money-credit-loanable-funds-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
ch8-money-credit-loanable-funds-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
ch9-is-lm-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **IS-LM**
2. **Credit Markets and Real Income in the Short-run**
3. **John Maynard Keynes and IS-LM**
4. **Say’s Law**
5. **A Reinterpretation of Say’s Law**
6. **Savings = Investment?: Keynes and Say’s Law**
7. **IS-LM**
8. **Keynesian Cross and the Marginal Propensity to Consume**
9. **Muliplier Caveat**
10. **Investment-Savings**",auto_filled
ch9-is-lm-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Chapter 9 - IS-LM.ipynb,auto_filled
ch9-is-lm-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
ch9-is-lm-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
ch10-labor-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **Labor**
2. **What is Labor?**
3. **Economic Growth and Wages**
4. **The Labor Force: Its employment and composition**
5. **Kinds of Unemployment**
6. **Unions, Minimum Wage, and Labor Dislocation**
7. **Inflation and Unemployment: Phillips Curve**
8. **Conclusion**
9. **Review**",auto_filled
ch10-labor-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Chapter 10 - Labor.ipynb,auto_filled
ch10-labor-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
ch10-labor-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
ch11-central-banking-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **Central Banking**
2. **Clearinghouse Associations**
3. **The Central Bank as the Lender of Last Resort**
4. **Central Banking: The Basics**
5. **Discount Rate**
6. **Open Market Operations**
7. **Reserve Requirements**
8. **Post-2008 Monetary Policy**
9. **Monetary Expansion**
10. **Sterilizing the Effects of Monetary Expansion**",auto_filled
ch11-central-banking-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Chapter 11 - Central Banking.ipynb,auto_filled
ch11-central-banking-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
ch11-central-banking-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
advanced-macroeconomics-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **The Elements of Macroeconomics**
2. **Two Ways of Conceptualizing Economic Activity**
3. **The Equation of Exchange**
4. **Real Income**
5. **Price Level**
6. **Inflation**
7. **Aggregate Demand**
8. **Supply of Money**
9. **Demand for Money**
10. **Price of Money**",auto_filled
advanced-macroeconomics-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Chapter 3 - The Elements of Macroeconomics.ipynb,auto_filled
advanced-macroeconomics-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
advanced-macroeconomics-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
data-homework-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SECTIONS,41,Sections,{MANUAL:COMPONENT_SECTIONS},"1. **Data Homework: Chapter 10**
2. **and then the next plot**",auto_filled
data-homework-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_SOURCES,45,Sources,{MANUAL:COMPONENT_SOURCES},- ./Data Homework - Chapter 10.ipynb,auto_filled
data-homework-expert.agent.md,MANUAL_PLACEHOLDER,COMPONENT_QUALITY_CRITERIA,49,Quality Criteria,{MANUAL:COMPONENT_QUALITY_CRITERIA},"- All code cells execute without errors in a clean kernel restart
- Each section opens with a clear learning objective or conceptual framing
- Code is annotated with inline comments explaining non-obvious steps
- Examples use economics, statistics, or social-science data where applicable
- Output format is a clean, readable Jupyter notebooks (.ipynb) with interactive widgets file",auto_filled
data-homework-expert.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,67,Component Brief Preparation,"2. **Section list** — ordered list matching `## Sections` above, with a one-sentence description of each section's argum",N/A — no citation database configured for this project,auto_filled
../copilot-instructions.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,23,Directory Structure,| `figures/` | Diagrams and figures | | | `{MANUAL:REFERENCE_DB_PATH}` | Reference/bibliography database | | | `.github/,N/A — no citation database configured for this project,auto_filled
references/,MISSING_TOOL_REF,ipywidgets,0,,import alias 'ipywidgets' detected in project source; no reference file found.,https://ipywidgets.readthedocs.io/en/stable/,auto_filled
references/,MISSING_TOOL_REF,pandas-datareader,0,,import alias 'pandas_datareader' detected in project source; no reference file found.,https://pandas-datareader.readthedocs.io/en/latest/,auto_filled
references/,MISSING_TOOL_REF,networkx,0,,import alias 'networkx' detected in project source; no reference file found.,https://networkx.org/documentation/stable/reference/,auto_filled
references/,MISSING_TOOL_REF,plotly,0,,import alias 'plotly' detected in project source; no reference file found.,https://plotly.com/python-api-reference/,auto_filled
references/,MISSING_TOOL_REF,statsmodels,0,,import alias 'statsmodels' detected in project source; no reference file found.,https://www.statsmodels.org/stable/api.html,auto_filled
references/,MISSING_TOOL_REF,scipy,0,,import alias 'scipy' detected in project source; no reference file found.,https://docs.scipy.org/doc/scipy/reference/,auto_filled
